FSC-A,SSC-A,IgG,IgG2A,PerCP-Cy5-5-A,PE-Cy7-A,APC-A,APC-Cy7-A,Pacific Blue-A,AmCyan-A
106738.4,65380.5,228.15001,294.30002,234.90001,41.850002,28.080002,-9.72,264.47998,361.91998
116554.805,157194.0,369.9,351.0,537.3,79.65,126.36001,111.240005,523.16,729.63995
91628.32,127692.45,244.35,264.6,260.55002,62.100002,320.76,34.56,335.24,377.0
67572.164,26423.55,62.100002,37.8,-2.7,29.7,109.08,-75.600006,76.56,266.8
98587.2,116784.45,160.65001,267.30002,213.3,33.75,141.48001,-14.040001,382.8,445.44
123167.766,146599.2,89.1,162.0,313.2,83.700005,402.84003,81.0,379.31998,497.63998
96537.445,79456.95,271.35,222.75,83.700005,52.65,351.0,28.080002,324.8,366.56
132393.52,121225.95,216.0,128.25,197.1,2.7,182.52,101.520004,364.24,409.47998
114383.6,60886.35,214.65001,148.5,128.25,29.7,-22.68,166.32,211.12,269.12
132482.77,173276.55,309.15,265.95,340.2,62.100002,108.00001,-93.96001,551.0,676.27997
157261.12,262143.0,2124.9001,1717.2001,2084.4001,180.90001,1311.12,287.28,1694.76,3335.0
38430.242,22631.4,122.85,193.05,140.40001,21.6,12.960001,-2.16,116.0,155.44
150313.28,133689.16,314.55002,117.450005,220.05,101.25,184.68001,-25.920002,380.47998,416.44
115218.96,167552.55,199.8,230.85,392.85,63.45,347.76,-57.24,555.63995,528.95996
85377.84,85650.75,180.90001,245.7,32.4,-37.8,324.0,78.840004,334.08,416.44
176721.89,262141.66,1259.55,1140.75,1205.55,189.0,590.76,120.96001,1423.32,2226.04
113049.6,162993.61,182.25,228.15001,522.45,39.15,160.92001,99.36,526.64,597.39996
82650.96,30631.5,130.95,64.8,8.1,25.65,118.8,-92.880005,69.6,265.63998
141901.72,151447.05,274.05002,276.75,179.55,4.05,181.44,78.840004,469.8,571.88
137410.28,161896.05,248.40001,225.45,234.90001,81.0,225.72002,108.00001,415.28,533.6
79273.64,104357.7,116.1,151.2,74.25,-21.6,92.880005,79.920006,320.16,383.96
105613.24,114027.75,203.85,157.95,47.25,21.6,33.48,-1.08,419.91998,535.92
154560.92,173334.61,309.15,363.15,488.7,10.8,352.08002,128.52,533.6,654.24
101600.2,120961.35,264.6,171.45,245.7,47.25,315.36002,-75.600006,412.96,443.12
100506.32,117636.305,182.25,85.05,167.40001,-17.550001,271.08002,6.4800005,450.08,446.59998
125258.92,120690.0,406.35,321.30002,336.15,76.950005,238.68001,57.24,386.28,561.44
98292.805,86093.555,261.9,307.80002,133.65001,33.75,200.88,87.48,285.36,450.08
128999.64,176681.25,288.9,197.1,352.35,-16.2,395.28003,-48.600002,491.84,580.0
107214.96,73978.65,218.7,429.30002,221.40001,99.9,123.12,120.96001,339.88,458.19998
101795.24,64102.05,183.6,406.35,81.0,17.550001,180.36,-12.960001,200.68,377.0
118155.6,154153.8,184.95,174.15001,429.30002,-5.4,184.68001,-58.320004,385.12,479.08
127482.56,161840.7,151.2,240.3,232.2,32.4,507.6,124.200005,524.32,475.59998
117974.36,124590.15,216.0,135.0,139.05,-12.150001,251.64001,-35.640003,345.68,516.2
141669.88,210489.3,303.75,287.55002,405.0,85.05,405.00003,112.32001,614.8,803.88
83194.68,39248.55,157.95,218.7,155.25,31.050001,37.800003,-32.4,172.84,458.19998
116243.84,120583.35,198.45,224.1,102.6,-18.9,6.4800005,-33.48,329.44,490.68
111096.445,176820.3,276.75,135.0,310.5,37.8,220.32,60.480003,509.24,575.36
130920.6,150221.25,302.4,132.3,230.85,28.35,279.72,-50.760002,363.08,475.59998
122182.445,141716.25,218.7,140.40001,133.65001,37.8,220.32,62.640003,392.08,389.75998
109491.04,64863.45,191.7,278.1,319.95,63.45,203.04001,2.16,267.96,290.0
135749.69,144054.45,280.80002,271.35,94.5,24.300001,384.48,-16.2,417.59998,453.56
135089.12,182048.86,213.3,86.4,85.05,31.050001,211.68001,-7.5600004,528.95996,443.12
115758.086,77361.75,287.55002,499.5,155.25,-41.850002,30.240002,83.16,306.24,327.12
114938.36,134225.11,287.55002,326.7,465.75,25.65,288.36002,17.28,469.8,407.15997
160655.92,262143.0,2539.35,1950.75,2047.9501,263.25,1734.4801,366.12003,2598.4,3865.1199
121172.28,131816.7,226.8,164.7,164.7,24.300001,218.16,47.52,487.19998,423.4
262143.0,262143.0,529.2,515.7,569.7,78.3,441.72003,78.840004,785.32,1032.4
157796.56,70985.7,418.5,368.55002,279.45,114.75,102.600006,1.08,295.8,580.0
137313.69,137781.0,98.55,130.95,206.55,8.1,118.8,-102.600006,409.47998,429.19998
100232.164,85822.2,355.05002,279.45,113.4,49.95,128.52,15.120001,314.36,497.63998
159368.84,229401.45,301.05002,265.95,511.65,157.95,326.16,38.88,488.36,503.43997
124044.52,123773.4,332.1,360.45,220.05,-1.35,212.76001,-22.68,377.0,426.87997
104602.164,45563.85,202.5,238.95,94.5,44.55,55.08,-5.4,327.12,344.52
99119.88,72420.75,251.1,301.05002,139.05,28.35,64.8,22.68,324.8,336.4
119726.96,150017.4,213.3,114.75,216.0,-28.35,176.04001,132.84001,501.12,493.0
105427.4,131888.25,184.95,133.65001,303.75,0.0,330.48,217.08,458.19998,481.4
83570.96,21659.4,75.6,9.45,101.25,-12.150001,91.8,87.48,109.03999,102.079994
128149.56,262143.0,1549.8,1289.25,1282.5,287.55002,946.08,137.16,1742.32,2744.5598
136211.52,167412.16,278.1,255.15001,274.05002,101.25,619.92004,-48.600002,410.63998,631.04
140100.36,164398.95,301.05002,220.05,282.15,13.5,324.0,79.920006,491.84,570.72
85586.68,108237.6,137.7,106.65,137.7,85.05,-45.36,15.120001,309.72,353.8
127827.56,172976.86,189.0,272.7,255.15001,70.200005,447.12003,112.32001,501.12,556.8
111073.445,118872.9,221.40001,110.700005,240.3,89.1,465.48,30.240002,309.72,401.36
131982.28,174294.45,264.6,121.5,135.0,2.7,247.32,72.36,560.27997,511.56
52350.76,24312.15,226.8,10.8,-27.0,33.75,50.760002,-14.040001,48.719997,143.84
104782.484,59957.55,260.55002,232.2,274.05002,2.7,85.32,-28.080002,273.75998,418.75998
149676.64,188638.2,360.45,209.25,432.0,13.5,353.16,102.600006,489.52,618.27997
133604.25,160447.5,268.65,268.65,519.75,10.8,166.32,-29.160002,512.72,689.04
126525.766,137147.86,197.1,371.25,236.25,66.15,172.8,22.68,404.84,408.31998
107088.0,113300.1,211.95,28.35,143.1,-6.75,170.64,-47.52,357.28,276.08
112097.4,118443.6,251.1,36.45,202.5,2.7,344.52002,-82.08,388.59998,261.0
120409.6,123240.15,210.6,95.85,43.2,0.0,185.76001,-95.04,325.96,419.91998
93512.484,79627.055,140.40001,-8.1,166.05,24.300001,82.08,57.24,321.31998,228.51999
113592.4,127890.9,172.8,144.45,407.7,25.65,139.32,113.4,400.19998,545.2
185023.97,262143.0,2682.45,1798.2001,2008.8,317.25,1304.64,190.08,2462.68,4246.76
97503.445,108417.15,280.80002,58.05,387.45,-21.6,146.88,96.12,388.59998,299.28
151991.36,140343.3,206.55,140.40001,444.15,106.65,240.84001,-12.960001,440.8,490.68
150121.0,192906.9,391.5,264.6,179.55,-29.7,225.72002,74.520004,508.08,667.0
149923.2,173300.86,418.5,206.55,375.30002,-39.15,109.08,77.76,466.31998,567.24
121390.32,121841.555,230.85,121.5,136.35,108.0,157.68001,30.240002,397.87997,486.03998
132824.08,198892.8,461.7,271.35,298.35,36.45,338.04,88.560005,520.83997,759.8
141955.08,130173.75,267.30002,145.8,41.850002,-1.35,252.72002,-19.44,409.47998,440.8
86477.24,74113.65,218.7,263.25,352.35,-58.05,140.40001,97.200005,346.84,480.24
114736.88,65115.902,189.0,163.35,324.0,-14.85,217.08,-22.68,337.56,431.52
128377.72,172534.05,270.0,109.35,298.35,-13.5,366.12003,58.320004,484.87997,650.76
108010.766,147127.05,234.90001,172.8,251.1,59.4,206.28001,7.5600004,443.12,450.08
154168.08,262143.0,1900.8,1845.4501,1772.55,295.65,887.76,300.24002,2081.04,3593.68
122270.766,161424.9,170.1,240.3,236.25,2.7,258.12,179.28001,546.36,561.44
99117.125,129138.305,178.2,209.25,143.1,17.550001,250.56001,83.16,338.72,516.2
141492.33,200885.4,291.6,125.55,211.95,126.9,331.56003,-11.88,595.07996,670.48
156549.97,262143.0,2011.5,1634.85,1736.1,251.1,1135.0801,17.28,1872.24,3090.24
155961.16,262143.0,1567.35,1347.3,1679.4,282.15,1127.52,145.8,1978.96,2817.64
152558.08,200338.66,452.25,255.15001,213.3,130.95,228.96,-97.200005,604.36,727.32
